City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
65,Richards Bay,ZA,66.99,Rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
66,New Norfolk,AU,50.72,Clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Saint George,US,65.53,Clear,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Georgetown,MY,78.73,Clouds,5.4112,100.3354,Cititel Penang
69,Fortuna,US,58.35,Clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
71,Mangrol,IN,79.92,Clouds,21.1167,70.1167,Hotel The Royal Honours
72,Punta Arenas,CL,50.11,Clear,-53.15,-70.9167,Hotel Dreams Del Estrecho
73,Tautira,PF,75.22,Rain,-17.7333,-149.15,Pension Oaoa
75,Saldanha,ZA,65.1,Clouds,-33.0117,17.9442,Blue Bay Lodge
77,Hermanus,ZA,74.8,Clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
78,Kaitangata,NZ,51.15,Clouds,-46.2817,169.8464,Kaitangata Motor Camp
79,Parole,US,62.22,Clouds,38.9796,-76.5305,DoubleTree by Hilton Hotel Annapolis
82,Atambua,ID,77.97,Clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
83,Jamestown,US,50.29,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Quatre Cocos,MU,75.31,Clouds,-20.2078,57.7625,Sunrise Attitude Hotel
85,Sept-Iles,CA,50.43,Clouds,50.2001,-66.3821,Comfort Inn
87,Hambantota,LK,79.93,Clouds,6.1241,81.1185,Bungalow 63
88,Mahebourg,MU,75.49,Clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Chuy,UY,72.73,Clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
91,Hobart,AU,51.06,Clouds,-42.8794,147.3294,Mantra on Collins Hobart
92,Kindu,CD,79.52,Rain,-2.95,25.95,Résidence Okanda
94,Bandarbeyla,SO,79.2,Rain,9.4942,50.8122,JABIR HOTEL
98,Santa Isabel,BR,78.66,Clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
99,Guerrero Negro,MX,66.13,Clear,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
100,Whitianga,NZ,62.02,Rain,-36.8333,175.7,Beachside Resort Whitianga
101,Cap Malheureux,MU,75.69,Clear,-19.9842,57.6142,Pereybere Hotel & Spa
103,Esperance,AU,56.98,Clear,-33.8667,121.9,Hospitality Esperance
104,Cabo San Lucas,MX,79.52,Clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
105,Faanui,PF,77.83,Rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
108,Atuona,PF,77.36,Clouds,-9.8,-139.0333,Villa Enata
109,Matara,LK,77.74,Clouds,5.9485,80.5353,Amaloh Boutique Resort
110,Yabrud,SY,65.86,Clouds,33.9674,36.6574,المنزل
113,Port Lincoln,AU,52.27,Clear,-34.7333,135.8667,Port Lincoln Hotel
116,Manthani,IN,76.8,Clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
117,Bindi,SL,71.73,Clouds,9.9167,-11.45,
119,Bluff,NZ,53.87,Clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
120,Abha,SA,70.05,Clear,18.2164,42.5053,Abha Hotel
123,Arraial Do Cabo,BR,75.06,Clouds,-22.9661,-42.0278,Pousada Porto Praia
124,Sao Joao Da Barra,BR,77.09,Clouds,-21.6403,-41.0511,Pousada Porto De Canoas
128,Sistranda,NO,52.9,Clouds,63.7256,8.834,Hotell Frøya
132,Santa Cruz De La Palma,ES,75.34,Ash,28.6835,-17.7642,H10 Taburiente Playa
134,Dong Hoi,VN,76.37,Clouds,17.4833,106.6,Nam Long Hotel
138,Ilave,PE,58.33,Clouds,-16.0833,-69.6667,Hostal Magestad
143,Puerto Ayora,EC,75.16,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Mahuva,IN,79.52,Clouds,21.0914,71.7622,Hotel Blue Diamond.
146,Barlinek,PL,55.9,Clouds,52.9946,15.2186,Hotel Barlinek
148,Ancud,CL,54.93,Clear,-41.8697,-73.8203,Hotel Arena Gruesa
150,East London,ZA,67.14,Clouds,-33.0153,27.9116,Tu Casa
151,Bintulu,MY,77.41,Clouds,3.1667,113.0333,900 Boutique INN
153,Ahuimanu,US,72.46,Clear,21.4447,-157.8378,Paradise Bay Resort
154,Port Macquarie,AU,58.89,Rain,-31.4333,152.9167,Rydges Port Macquarie
156,Ahipara,NZ,62.47,Rain,-35.1667,173.1667,Ahipara Holiday Park
159,Victoria,HK,75.25,Rain,22.2855,114.1577,Mini Hotel Central
160,Sukhumi,GE,56.48,Clouds,43.0033,41.0153,Ritsa Hotel
163,Aberdeen,GB,52.48,Clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
164,Port Elizabeth,ZA,69.1,Clear,-33.918,25.5701,39 On Nile Guest House
168,Osterburg,DE,56.5,Clouds,52.7833,11.7667,Altmarkhotel
169,Carnarvon,AU,69.87,Clear,-24.8667,113.6333,Hospitality Carnarvon
