City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
51,Santo Domingo,DO,2021-10-28 22:08:12,18.5001,-69.9886,84.04,77,20,3.0
52,Svetlyy,RU,2021-10-28 22:08:13,54.675,20.1347,46.45,87,41,9.89
53,Hithadhoo,MV,2021-10-28 22:08:13,-0.6,73.0833,82.89,75,100,12.95
54,Saint-Philippe,RE,2021-10-28 22:08:13,-21.3585,55.7679,72.99,80,3,5.73
55,Arona,ES,2021-10-28 22:08:14,28.0996,-16.681,66.7,65,20,11.5
56,Vardo,NO,2021-10-28 22:08:14,70.3705,31.1107,32.2,93,100,25.55
57,Upernavik,GL,2021-10-28 22:03:59,72.7868,-56.1549,20.03,59,98,4.79
58,Sur,OM,2021-10-28 22:05:08,22.5667,59.5289,77.02,67,0,2.15
59,Avarua,CK,2021-10-28 22:08:15,-21.2078,-159.775,75.25,73,75,10.36
60,Port Alfred,ZA,2021-10-28 22:08:15,-33.5906,26.891,66.94,96,100,6.22
61,Namibe,AO,2021-10-28 22:08:15,-15.1961,12.1522,66.85,69,36,6.73
62,Jinchang,CN,2021-10-28 22:08:16,38.4953,102.1739,42.71,43,3,4.16
63,Punta Arenas,CL,2021-10-28 22:08:16,-53.15,-70.9167,60.91,51,90,13.8
64,Mount Gambier,AU,2021-10-28 22:07:31,-37.8333,140.7667,51.6,57,100,14.36
65,New Norfolk,AU,2021-10-28 22:08:17,-42.7826,147.0587,45.91,80,100,4.0
66,Hermanus,ZA,2021-10-28 22:08:17,-34.4187,19.2345,60.91,89,15,8.75
67,Hofn,IS,2021-10-28 22:05:02,64.2539,-15.2082,43.61,88,100,14.27
68,Los Llanos De Aridane,ES,2021-10-28 22:08:17,28.6585,-17.9182,65.95,80,0,5.99
69,Victoria,HK,2021-10-28 22:06:28,22.2855,114.1577,77.38,87,83,1.01
70,East London,ZA,2021-10-28 22:04:08,-33.0153,27.9116,66.56,96,100,9.8
71,Nikolskoye,RU,2021-10-28 22:08:18,59.7035,30.7861,47.88,93,100,10.83
72,Dikson,RU,2021-10-28 22:08:18,73.5069,80.5464,9.14,92,100,9.04
73,Kidal,ML,2021-10-28 22:08:19,18.4411,1.4078,87.24,15,52,6.02
74,Airai,TL,2021-10-28 22:08:19,-8.9266,125.4092,63.3,77,99,1.5
75,Venezuela,VE,2021-10-28 22:08:19,8.0,-66.0,77.11,83,76,5.23
76,Andra,RU,2021-10-28 22:08:20,62.5147,65.8878,25.97,95,100,14.14
77,Ostrovnoy,RU,2021-10-28 22:03:27,68.0531,39.5131,28.15,76,100,16.82
78,Chuy,UY,2021-10-28 22:08:20,-33.6971,-53.4616,66.18,78,0,9.66
79,Leningradskiy,RU,2021-10-28 22:08:20,69.3833,178.4167,4.33,90,100,7.09
80,Hobart,AU,2021-10-28 22:08:21,-42.8794,147.3294,46.26,95,90,5.01
81,Bethel,US,2021-10-28 22:06:44,41.3712,-73.414,53.91,77,40,5.75
82,Mau,IN,2021-10-28 22:08:21,25.95,83.55,66.15,64,0,4.63
83,Peno,RU,2021-10-28 22:08:21,56.9262,32.7426,40.69,89,100,6.64
84,Lamar,US,2021-10-28 22:08:22,33.6668,-95.5836,69.37,34,90,27.63
85,Geraldton,AU,2021-10-28 22:04:07,-28.7667,114.6,43.21,87,3,4.61
86,Manokwari,ID,2021-10-28 22:08:22,-0.8667,134.0833,78.91,80,81,2.46
87,Cidreira,BR,2021-10-28 22:08:23,-30.1811,-50.2056,68.49,83,0,17.0
88,Pangody,RU,2021-10-28 22:08:23,65.85,74.4859,25.0,95,100,17.25
89,Andapa,MG,2021-10-28 22:08:23,-14.65,49.65,66.06,98,45,1.7
90,Birjand,IR,2021-10-28 22:06:01,32.8663,59.2211,49.93,40,0,2.64
91,Fortuna,US,2021-10-28 22:08:24,40.5982,-124.1573,74.43,67,1,4.0
92,Sulangan,PH,2021-10-28 22:08:24,11.1373,123.7228,82.35,77,43,9.86
93,Byron Bay,AU,2021-10-28 22:08:24,-28.65,153.6167,79.72,78,100,11.1
94,Zhigansk,RU,2021-10-28 22:08:25,66.7697,123.3711,14.54,94,100,9.4
95,Souillac,MU,2021-10-28 22:08:25,-20.5167,57.5167,75.36,80,0,7.96
96,Quatre Cocos,MU,2021-10-28 22:08:25,-20.2078,57.7625,75.09,77,4,10.42
97,Belmonte,BR,2021-10-28 22:08:26,-15.8631,-38.8828,75.7,86,8,11.14
